instance=../tests/problems/passing_trough.txt
agents=6
radiuses=10, 1, 1, 1, 1, 1
map_file=64x64.map
solver=Free Space Priority Inheritance With Backtracking V2 (FSPIBTV2)
solved=1
soc=644
lb_soc=45
makespan=146
lb_makespan=40
comp_time=4
preprocessing_comp_time=2
starts=(12,32),(24,27),(24,31),(24,35),(24,39),(24,43),
goals=(52,32),(24,22),(24,31),(24,35),(24,39),(24,43),
solution=
0:(12,32),(24,27),(24,31),(24,35),(24,39),(24,43),
1:(13,32),(24,26),(24,31),(24,35),(24,39),(24,43),
2:(14,32),(24,25),(25,31),(25,35),(24,39),(24,43),
3:(15,32),(24,24),(26,31),(26,35),(24,39),(24,43),
4:(16,32),(24,23),(27,31),(27,35),(24,40),(24,43),
5:(17,32),(24,22),(28,31),(28,35),(25,40),(24,43),
6:(18,32),(24,22),(29,31),(29,35),(25,41),(24,43),
7:(19,32),(24,22),(30,31),(30,35),(26,41),(24,43),
8:(20,32),(25,22),(31,31),(31,35),(27,41),(24,43),
9:(20,32),(25,21),(32,31),(32,35),(27,42),(24,43),
10:(21,32),(24,21),(32,32),(33,35),(26,42),(24,43),
11:(22,32),(23,21),(33,32),(34,35),(26,43),(24,43),
12:(23,32),(23,20),(34,32),(35,35),(26,43),(23,43),
13:(23,31),(24,20),(34,31),(34,35),(25,43),(23,42),
14:(24,31),(23,20),(35,31),(34,36),(24,43),(22,42),
15:(25,31),(24,20),(36,31),(35,36),(24,42),(22,43),
16:(26,31),(23,20),(37,31),(36,36),(23,42),(21,43),
17:(27,31),(24,20),(38,31),(37,36),(24,42),(22,43),
18:(27,31),(23,20),(39,31),(38,36),(23,42),(22,44),
19:(28,31),(24,20),(40,31),(38,37),(24,42),(23,44),
20:(29,31),(24,21),(41,31),(38,38),(24,41),(24,44),
21:(30,31),(23,21),(42,31),(39,38),(23,41),(24,43),
22:(31,31),(24,21),(43,31),(39,39),(24,41),(24,43),
23:(32,31),(24,22),(44,31),(39,40),(24,40),(24,43),
24:(33,31),(24,22),(45,31),(39,41),(24,39),(24,43),
25:(34,31),(24,22),(46,31),(40,41),(24,39),(24,43),
26:(35,31),(24,22),(47,31),(41,41),(24,39),(24,43),
27:(36,31),(24,22),(48,31),(42,41),(24,39),(24,43),
28:(37,31),(24,22),(49,31),(43,41),(24,39),(24,43),
29:(38,31),(24,22),(50,31),(44,41),(24,39),(24,43),
30:(39,31),(24,22),(51,31),(45,41),(24,39),(24,43),
31:(40,31),(24,22),(52,31),(46,41),(24,39),(24,43),
32:(41,31),(24,22),(53,31),(47,41),(24,39),(24,43),
33:(42,31),(24,22),(54,31),(48,41),(24,39),(24,43),
34:(43,31),(24,22),(55,31),(49,41),(24,39),(24,43),
35:(44,31),(24,22),(56,31),(50,41),(24,39),(24,43),
36:(45,31),(24,22),(57,31),(51,41),(24,39),(24,43),
37:(46,31),(24,22),(58,31),(52,41),(24,39),(24,43),
38:(47,31),(24,22),(59,31),(53,41),(24,39),(24,43),
39:(48,31),(24,22),(60,31),(54,41),(24,39),(24,43),
40:(49,31),(24,22),(61,31),(55,41),(24,39),(24,43),
41:(50,31),(24,22),(62,31),(56,41),(24,39),(24,43),
42:(51,31),(24,22),(62,30),(57,41),(24,39),(24,43),
43:(51,31),(24,22),(62,29),(58,41),(24,39),(24,43),
44:(51,31),(24,22),(62,28),(57,41),(24,39),(24,43),
45:(51,31),(24,22),(62,27),(58,41),(24,39),(24,43),
46:(52,31),(24,22),(62,26),(57,41),(24,39),(24,43),
47:(52,32),(24,22),(62,27),(57,42),(24,39),(24,43),
48:(52,31),(24,22),(62,26),(56,42),(24,39),(24,43),
49:(51,31),(24,22),(62,26),(55,42),(24,39),(24,43),
50:(50,31),(24,22),(61,26),(54,42),(24,39),(24,43),
51:(49,31),(24,22),(60,26),(53,42),(24,39),(24,43),
52:(48,31),(24,22),(59,26),(52,42),(24,39),(24,43),
53:(47,31),(24,22),(58,26),(51,42),(24,39),(24,43),
54:(46,31),(24,22),(57,26),(50,42),(24,39),(24,43),
55:(45,31),(24,22),(56,26),(49,42),(24,39),(24,43),
56:(44,31),(24,22),(55,26),(48,42),(24,39),(24,43),
57:(43,31),(24,22),(54,26),(47,42),(24,39),(24,43),
58:(42,31),(24,22),(53,26),(46,42),(24,39),(24,43),
59:(41,31),(24,22),(52,26),(45,42),(24,39),(24,43),
60:(40,31),(24,22),(51,26),(44,42),(24,39),(24,43),
61:(39,31),(24,22),(50,26),(43,42),(24,39),(24,43),
62:(38,31),(24,22),(49,26),(42,42),(24,39),(24,43),
63:(37,31),(24,22),(48,26),(41,42),(24,39),(24,43),
64:(36,31),(24,22),(47,26),(40,42),(24,39),(24,43),
65:(35,31),(24,22),(46,26),(39,42),(24,39),(24,43),
66:(34,31),(24,22),(45,26),(38,42),(24,39),(24,43),
67:(33,31),(24,22),(44,26),(37,42),(24,39),(24,43),
68:(32,31),(24,22),(43,26),(36,42),(24,39),(24,43),
69:(31,31),(24,22),(42,26),(35,42),(23,39),(24,43),
70:(30,31),(23,22),(41,26),(34,42),(23,40),(24,43),
71:(29,31),(22,22),(40,26),(33,42),(22,40),(24,43),
72:(28,31),(21,22),(39,26),(32,42),(21,40),(24,43),
73:(27,31),(20,22),(38,26),(31,42),(20,40),(24,43),
74:(26,31),(19,22),(37,26),(30,42),(19,40),(24,43),
75:(25,31),(18,22),(36,26),(29,42),(18,40),(24,43),
76:(25,31),(17,22),(35,26),(28,42),(17,40),(24,43),
77:(24,31),(17,21),(34,26),(27,42),(16,40),(24,43),
78:(23,31),(18,21),(33,26),(26,42),(15,40),(24,43),
79:(22,31),(17,21),(33,26),(25,42),(14,40),(24,44),
80:(22,31),(16,21),(33,26),(24,42),(13,40),(24,45),
81:(22,32),(17,21),(32,26),(24,43),(14,40),(23,45),
82:(22,31),(16,21),(33,26),(24,42),(15,40),(24,45),
83:(22,30),(15,21),(33,27),(24,41),(16,40),(24,44),
84:(23,30),(14,21),(34,27),(24,41),(17,40),(24,43),
85:(23,29),(15,21),(34,28),(24,40),(18,40),(24,43),
86:(23,28),(15,20),(34,29),(24,39),(19,40),(24,43),
87:(24,28),(14,20),(35,29),(24,39),(20,40),(24,43),
88:(24,27),(15,20),(35,30),(24,38),(21,40),(24,43),
89:(24,26),(14,20),(35,31),(24,37),(22,40),(24,43),
90:(24,25),(13,20),(34,31),(24,36),(23,40),(24,43),
91:(24,24),(13,21),(33,31),(24,35),(24,40),(24,43),
92:(24,23),(13,22),(32,31),(24,35),(24,39),(24,43),
93:(23,23),(12,22),(31,31),(24,35),(24,39),(24,43),
94:(22,23),(11,22),(30,31),(24,35),(24,39),(24,43),
95:(22,23),(10,22),(30,31),(24,35),(24,39),(24,43),
96:(21,23),(10,23),(29,31),(24,35),(24,39),(24,43),
97:(21,22),(10,22),(28,31),(24,35),(24,39),(24,43),
98:(20,22),(9,22),(27,31),(24,35),(24,39),(24,43),
99:(20,21),(8,22),(26,31),(24,35),(24,39),(24,43),
100:(19,21),(7,22),(25,31),(24,35),(24,39),(24,43),
101:(18,21),(6,22),(24,31),(24,35),(24,39),(24,43),
102:(19,21),(7,22),(24,31),(24,35),(24,39),(24,43),
103:(20,21),(8,22),(25,31),(24,35),(24,39),(24,43),
104:(21,21),(9,22),(25,32),(24,35),(24,39),(24,43),
